WL,Tide only,68 Cons (Exc. SA-SSA-MSF-MM-MF-MSM),wind U10 (m/s),wind V10 (m/s) ,MSL Pressure (Pa),SLA
0.496,0.373384843488116,0.13953332443559302,1.74169468723623,-4.00405868037348,101170.433444146,0.12261515651188398
0.856,0.766718223379267,0.10653622119995299,1.27067875081739,-3.75847448796316,101228.597624017,0.089281776620733
1.293,1.17330156811905,0.13728538366993992,0.823009329214854,-3.62038326817881,101307.14653424,0.11969843188094997
1.55,1.40436995480609,0.16354563654597998,0.274755339612092,-3.47750275753488,101303.667590407,0.1456300451939101
1.445,1.32942219279042,0.13381807214036012,0.207634109515231,-2.7109501482888,101220.003692494,0.11557780720958011
1.054,0.960427161133317,0.11213371573410602,0.273588013871277,-2.6082464665224,101138.032253743,0.093572838866683
0.466,0.370785373555331,0.11409195838844205,0.474368041291451,-3.53337781756323,101061.664735329,0.09521462644466905
-0.3,-0.342691060020242,0.061880592823506,0.478064572804032,-2.82589312891855,100987.346973011,0.04269106002024203
-0.968,-1.01779950469807,0.06929688952930002,0.238373687356692,-2.12905130885069,100887.360246735,0.04979950469806993
-1.366,-1.4797950172848,0.1335958166942499,-0.499959843708773,-1.74989911580117,100896.424305803,0.1137950172847999
-1.491,-1.64756273342472,0.17666242177379,-1.12117169211247,-1.7695884226683,100895.97298336,0.15656273342471994
-1.403,-1.54800096858315,0.16539492814117995,-0.171552201959496,-2.81205739976867,101002.898792201,0.14500096858314993
-1.095,-1.24824691304821,0.17393043452688994,1.03799181981494,-2.24958179548327,101068.885894421,0.15324691304820992
-0.613,-0.783344947240972,0.19131323540256706,1.03293340827141,-2.64496436311246,101120.393068254,0.17034494724097204
-0.022,-0.179211467399423,0.178459644241296,1.02437301950543,-3.63342078218542,101159.864976934,0.15721146739942302
0.693,0.442891000257216,0.27163210332457594,0.70102378929969,-4.05354801925573,101142.131765936,0.25010899974278394
1.16,0.89791124031882,0.28388174427329094,0.489543275922046,-4.3150965145313,101142.507867972,0.26208875968117995
1.39,1.10158837184403,0.3104693669114098,0.406857702614319,-4.58648966324043,101100.816957279,0.2884116281559699
1.366,1.07933926955167,0.30897801656067014,0.672035200069452,-4.81424705078456,101053.747787471,0.2866607304483302
1.12,0.854389062438953,0.2881824848961161,0.662891148433068,-4.717130875021,100992.443155599,0.26561093756104714
0.72,0.480848016020141,0.26197242977998497,0.86658949020528,-4.88342569653395,100947.649403109,0.23915198397985898
0.314,0.116083071043486,0.2209808359977399,0.693047063404121,-5.18807780954567,100954.644900979,0.197916928956514
0.119,-0.078356566409589,0.220658424010161,0.920481028572904,-5.52705317371766,100957.428056046,0.19735656640958898
0.14,-0.0607069411258325,0.22424116740636613,1.51484438493785,-4.80972383163941,101003.274894237,0.2007069411258325
0.335,0.128010287293379,0.23075065599073202,1.31951187764148,-4.73176481931414,101070.916845415,0.20698971270662103
0.636,0.46133297237166,0.198648966154564,1.26717677359494,-4.80014524992026,101092.78717881,0.17466702762834002
1.033,0.906175079786935,0.15102206421458397,0.987018595799357,-5.37565836821227,101133.330978293,0.1268249202130649
1.463,1.32243368389848,0.16497281124902008,0.530983339720977,-5.71756052124289,101140.326476163,0.14056631610152004
1.637,1.50169887837224,0.15991105032698005,0.209190543836318,-5.62975685548406,101076.332714734,0.13530112162775998
1.479,1.34506233362692,0.1587450493308602,0.468336858297241,-5.00980976088379,101018.525831797,0.13393766637308002
1.032,0.903619341764765,0.15337945660472008,0.37650723335313,-3.41630626321812,100934.805518579,0.12838065823523503
0.364,0.262535618633609,0.126648496351081,0.0539362203079281,-2.78757880204196,100862.34946134,0.10146438136639097
-0.405,-0.474252212774875,0.09461548675392695,0.337401821035829,-2.8022127463351,100809.375489566,0.06925221277487498
-1.01,-1.13112127771346,0.14665750027857993,1.50511667043106,-3.35138476489946,100784.101432745,0.12112127771346004
-1.376,-1.53788240469726,0.18758531607193007,1.22106740683275,-3.08930412619506,100780.28399708,0.16188240469726
-1.472,-1.64325863711897,0.19712192517199,1.1235957074747,-3.97026757264205,100846.760031947,0.17125863711896994
-1.328,-1.49980278826337,0.19782008773207993,1.29538714566464,-3.12628809449954,100920.043513665,0.17180278826336992
-0.966,-1.16541910932546,0.22558400768917997,1.21445256096814,-3.24176321855813,100966.492115114,0.19941910932546003
-0.458,-0.652683529980933,0.22098957252503298,1.18449120028722,-3.75315305367474,101021.026910337,0.19468352998093302
0.144,-0.0079165458043644,0.1783572350190145,1.69597442905431,-4.04237300725006,101045.981280427,0.1519165458043644
0.848,0.598897797173009,0.27567099777411896,2.07243698046714,-4.16263742216823,101024.750320493,0.24910220282699103
1.256,0.98331654906077,0.29937377099083096,2.11154239278444,-4.5835628743818,101005.869998285,0.27268345093922997
1.398,1.10763808972605,0.3171671383774999,1.78157831671407,-4.8597453139505,100986.463133227,0.29036191027394986
1.306,1.01573259495894,0.31718088749194906,1.21056147516542,-5.00794725888284,100937.814334867,0.2902674050410601
1.021,0.725222686194755,0.32279236180732096,1.30336387156021,-4.97043114714952,100883.035073321,0.29577731380524486
